chat_id,count
10146,122
3578,68
10049,68
10110,64
18,53
10062,53
366,49
3579,35
1917,35
7106,33
13736,31
1504,30
2749,25
7365,22
9,21
128,18
8137,18
41,17
8503,16
1495,16
2816,16
810,15
1613,15
868,15
11702,15
6883,14
7712,14
5293,14
50,14
2874,14
2161,14
7089,13
3063,13
2879,13
48,13
3665,13
1717,13
7215,13
2549,13
5179,13
2864,12
2623,12
3077,12
9242,12
3053,12
2927,12
8204,12
14595,12
3337,12
3559,12
1475,12
2479,11
2754,11
73,11
542,11
1716,11
9781,11
1071,11
6681,11
55,11
1505,11
1565,11
14099,11
4367,11
1367,11
1887,11
8233,11
3498,11
1951,11
11450,10
1441,10
790,10
5962,10
1,10
4646,10
123,10
6875,10
3248,10
4803,10
5683,10
981,10
2470,10
2567,10
3396,10
3859,10
10985,10
1729,10
6417,10
6715,10
5567,10
5565,10
1907,10
964,10
2205,10
143,10
3969,9
2513,9
558,9
3663,9
3247,9
